이름,성별,생년월일,전화번호,직업,지병여부
Lee Minjun,Male,1989-03-25,010-3928-4721,Doctor,True
Lee Jiwon,Female,2012-07-11,010-9234-5738,Student,True
Lee Ha-eun,Male,1995-02-18,010-4837-9201,Nurse,True
Im Hyunwoo,Female,1996-09-07,010-5839-1120,Unemployed,False
Kim Ji-hoon,Female,1935-11-22,010-9304-3850,Salesperson,False
Park Ha-eun,Male,1981-06-30,010-2390-5538,Engineer,False
Lee Yuna,Female,1980-12-13,010-8357-4902,Student,False
Im Seo-yeon,Male,1976-10-02,010-2493-3839,Nurse,False
Shin Yuna,Male,1951-09-14,010-1203-4930,Engineer,True
Choi Jisoo,Male,2014-01-23,010-5920-3820,Engineer,False
Jung Soojin,Female,1943-07-03,010-4029-4849,Teacher,False
Kang Ha-eun,Female,1939-02-21,010-9383-5021,Engineer,True
Im Ha-eun,Female,2004-04-15,010-5738-4930,Chef,False
Im Ha-eun,Female,1937-12-09,010-4859-3020,Student,True
Kim Yuna,Female,1973-08-28,010-2049-2928,Engineer,True
Shin Yuna,Female,1997-03-19,010-3204-5901,Chef,False
Park Jisoo,Male,2007-11-12,010-2940-4020,Nurse,False
Shin Hyunwoo,Female,1950-05-09,010-4939-2039,Salesperson,True
Park Jiwon,Male,1959-01-17,010-5839-3029,Student,True
Park Ji-hoon,Female,1937-04-25,010-2938-4029,Unemployed,True
Cho Hyunwoo,Female,1948-10-05,010-5020-4839,Nurse,False
Im Minjun,Male,1937-12-14,010-2849-2049,Nurse,False
Kang Seo-yeon,Female,1985-07-01,010-3840-4930,Teacher,False
Kim Jisoo,Male,1960-05-19,010-4839-2020,Nurse,True
Jung Jiwon,Male,1947-03-20,010-5938-2049,Teacher,False
Park Jiwon,Male,1955-02-27,010-2849-3920,Unemployed,False
Yoon Minjun,Female,2010-10-30,010-4930-3849,Artist,True
Kim Ha-eun,Male,1952-09-01,010-5839-2049,Engineer,False
Lee Jiwon,Male,2008-12-17,010-4039-4930,Driver,True
Jung Jiwon,Female,1947-08-08,010-3849-5839,Doctor,True
Jung Hyunwoo,Female,1939-06-22,010-2394-2938,Driver,False
Lee Ha-eun,Male,1996-02-13,010-5839-2039,Salesperson,True
Shin Jiwon,Male,1995-05-28,010-3948-3029,Student,True
Kim Ha-eun,Male,2016-04-19,010-5940-2039,Salesperson,True
Im Ha-eun,Female,1989-07-15,010-2938-4938,Doctor,True
Shin Taeyang,Male,1964-08-21,010-4938-3029,Driver,False
Choi Seo-yeon,Female,2012-03-07,010-4930-5940,Salesperson,False
Cho Soojin,Male,2018-09-29,010-4839-1029,Student,False
Kang Seo-yeon,Male,1993-10-10,010-3928-2049,Doctor,False
Park Hyunwoo,Female,2001-02-25,010-4959-2039,Driver,True
Lee Soojin,Male,1954-11-12,010-4950-2039,Student,True
Lee Ha-eun,Female,2003-05-16,010-5839-2040,Driver,False
Choi Hyunwoo,Male,2017-01-20,010-4029-3949,Chef,True
Cho Jisoo,Female,1966-06-04,010-2948-3029,Chef,False
Park Ha-eun,Male,1987-09-29,010-5930-2049,Student,True
Kang Minjun,Female,2018-11-23,010-2938-4029,Nurse,True
Kim Jiwon,Male,2014-05-07,010-3920-4959,Engineer,True
Choi Hyunwoo,Male,2009-12-18,010-4959-3040,Unemployed,True
Shin Seo-yeon,Female,1971-07-08,010-2039-5940,Artist,True
Kang Ha-eun,Female,1991-01-02,010-5839-2030,Teacher,False
Yoon Yuna,Male,2015-04-28,010-5949-2039,Driver,True
Lee Jiwon,Female,1997-06-30,010-4959-4939,Teacher,False
Lee Ha-eun,Female,1976-02-05,010-5839-2049,Teacher,False
Im Jisoo,Male,1946-03-13,010-2948-3949,Nurse,False
Lee Ji-hoon,Male,1991-09-15,010-4939-2039,Engineer,True
Jung Jisoo,Male,1947-05-21,010-4939-4939,Salesperson,True
Jung Jiwon,Female,1962-07-17,010-5920-4839,Student,True
Cho Jisoo,Male,2019-08-08,010-2039-3029,Salesperson,True
Jung Ji-hoon,Female,1968-11-14,010-5839-4029,Nurse,True
Lee Seo-yeon,Male,1936-01-23,010-4939-4930,Nurse,True
Kang Taeyang,Male,1954-04-12,010-2938-5839,Chef,True
Kim Jisoo,Male,1978-05-26,010-5940-2039,Salesperson,True
Choi Seo-yeon,Female,1979-10-09,010-4839-4039,Unemployed,True
Choi Ji-hoon,Female,2002-07-05,010-2039-5839,Student,True
Kang Hyunwoo,Male,1939-08-16,010-4920-3949,Artist,True
Lee Hyunwoo,Female,2020-03-09,010-3959-2049,Doctor,True
Yoon Yuna,Male,1985-02-19,010-3949-2039,Doctor,True
Choi Hyunwoo,Female,1982-04-28,010-3949-4959,Engineer,False
Kang Jiwon,Female,1973-09-07,010-4959-3849,Student,True
Jung Ji-hoon,Female,1948-12-25,010-3929-5039,Student,True
Shin Hyunwoo,Female,1980-01-01,010-5930-3949,Chef,True
Cho Taeyang,Female,1999-08-15,010-4959-3940,Student,False
Kim Jiwon,Male,1956-06-19,010-4839-4950,Salesperson,False
Lee Yuna,Female,1945-10-27,010-3948-2039,Engineer,False
Im Jisoo,Female,1939-11-08,010-5839-2938,Salesperson,False
Jung Jiwon,Male,2008-01-12,010-4939-5940,Chef,False
Park Taeyang,Female,1952-03-05,010-3959-4839,Chef,True
Jung Jisoo,Female,1998-06-29,010-4929-2039,Unemployed,False
Yoon Soojin,Male,1968-10-21,010-5949-2038,Nurse,False
Park Seo-yeon,Female,1988-11-11,010-3829-5839,Engineer,True
Jung Ha-eun,Male,1999-07-08,010-3029-4959,Student,True
Choi Soojin,Male,1946-02-28,010-5949-4850,Driver,False
Shin Ha-eun,Female,1935-09-14,010-2849-3959,Driver,False
Choi Ji-hoon,Male,1941-12-04,010-5940-2038,Engineer,False
Choi Ji-hoon,Female,1935-07-29,010-3929-4950,Student,True
Lee Soojin,Female,2007-03-20,010-4939-2049,Nurse,False
Yoon Taeyang,Female,1960-08-15,010-4920-3859,Nurse,False
Park Soojin,Female,1967-06-04,010-2938-4950,Doctor,False
Im Soojin,Male,1944-04-23,010-4839-2039,Artist,False
Lee Jisoo,Female,1993-12-17,010-5939-2040,Salesperson,False
Im Seo-yeon,Male,2007-05-13,010-5949-2030,Doctor,False
Park Ha-eun,Female,2016-07-08,010-4839-4950,Chef,False
Im Soojin,Male,1971-02-26,010-4939-3949,Doctor,False
Cho Taeyang,Male,1935-11-22,010-3959-2939,Unemployed,False
Yoon Minjun,Female,1979-05-09,010-2039-4959,Chef,False
Im Jiwon,Male,1947-01-03,010-3949-3959,Driver,True
Jung Hyunwoo,Male,1962-09-27,010-4920-3849,Chef,False
Cho Ji-hoon,Male,1965-12-19,010-5938-4939,Unemployed,True
Cho Taeyang,Male,1952-03-01,010-4839-5839,Engineer,False
Park Soojin,Male,2001-08-24,010-4939-2048,Artist,False
